id,class_cvp,class_2025,stable_20_,n_matches
997,1,15,15,676
998,1,15,15,454
999,1,15,15,577
1000,1,15,15,686
1001,1,15,15,672
1002,1,12,12,683
1003,1,15,15,449
1004,1,15,15,684
1005,1,15,4,610
1006,1,15,15,676
1007,1,21,15,573
1008,1,15,15,686
1009,1,4,4,674
1010,1,15,15,75
1011,1,15,15,675
1012,1,15,15,678
1013,1,15,15,661
1014,1,15,15,94
1015,1,15,15,120
1016,1,15,15,620
1017,1,15,15,630
1018,1,15,15,678
1019,1,15,15,621
1020,1,15,4,666
1021,1,15,15,676
1022,1,15,15,682
1023,1,4,4,637
1024,1,15,15,687
1025,1,15,15,688
1026,1,15,15,675
1027,1,15,15,685
1028,1,41,41,664
1029,1,15,15,643
1030,1,15,15,651
1031,1,15,15,649
1032,1,15,15,685
1033,1,15,15,562
1034,1,15,15,673
1035,1,21,15,408
1036,1,15,15,690
1037,1,15,15,680
1038,1,15,15,678
1039,1,15,15,696
1040,1,15,15,682
1041,1,15,15,650
1042,1,15,15,660
1043,1,15,15,684
1044,1,15,15,672
1045,1,15,15,668
1046,1,15,15,680
1047,1,15,15,598
1048,1,15,15,669
1049,1,21,15,632
1050,1,15,15,684
1051,1,15,15,675
1052,1,15,15,670
1053,1,15,15,685
1054,1,15,15,643
1055,1,15,15,680
1056,1,15,15,280
1057,1,15,15,662
1058,1,15,15,673
1059,1,15,15,274
1060,1,15,4,640
1061,1,15,15,442
1062,1,15,15,661
1063,1,15,15,690
1064,1,15,15,677
1065,1,15,15,658
1066,1,15,15,656
1067,1,15,15,679
1068,1,15,15,676
1069,1,15,15,670
1070,1,15,15,462
1071,1,15,12,225
1072,1,15,15,685
1073,1,15,15,523
1074,1,15,15,673
1075,1,15,15,656
1076,1,15,15,679
1077,1,15,15,663
1078,1,15,15,386
1079,1,15,15,676
1080,1,15,15,605
1081,1,15,15,684
1082,1,15,15,296
1083,1,4,4,537
1084,1,15,15,673
1085,1,15,15,689
1086,1,15,15,652
1087,1,15,15,660
1088,1,15,15,663
1089,1,15,15,676
1090,1,15,15,686
1091,1,15,15,462
1092,1,15,15,679
1093,1,41,15,556
1094,1,21,15,667
1095,1,15,15,663
1096,1,15,15,656
1097,1,15,15,638
1098,1,15,15,663
1099,1,15,15,640
1100,1,15,15,271
1101,1,15,15,680
1102,1,15,15,664
1103,1,15,15,677
1104,1,15,15,674
1105,1,15,15,670
1106,1,15,15,675
1107,1,15,15,673
1108,1,15,15,284
1109,1,15,15,680
1110,1,15,15,666
1111,1,15,15,682
1112,1,15,15,657
1113,1,15,15,660
1114,1,15,15,528
1115,1,15,15,682
1116,1,39,39,634
1117,1,15,15,670
1118,1,15,15,590
1119,1,15,15,170
1120,1,15,15,659
1121,1,15,15,668
1122,1,15,15,688
1123,1,15,15,76
1124,1,15,15,643
1125,1,15,15,667
1126,1,15,15,114
1127,1,15,15,637
1128,1,15,15,671
1129,1,4,15,680
1130,1,15,15,675
1131,1,15,15,682
1132,1,15,15,665
1133,1,15,15,654
1134,1,15,15,659
1135,1,15,15,578
1136,1,15,15,678
1137,1,15,15,688
1138,1,15,15,632
1139,1,15,15,683
1140,1,15,15,330
1141,1,39,39,666
1142,1,15,15,672
1143,1,15,15,631
1144,1,15,15,683
1145,1,15,15,310
1146,1,15,15,549
1147,1,15,15,684
1148,1,15,15,661
1149,1,15,15,130
1150,1,15,15,656
1151,1,15,15,673
1152,1,15,15,577
1153,1,15,15,671
1154,1,15,15,603
1155,1,15,15,689
1156,1,15,15,690
1157,1,15,15,673
1158,1,15,15,573
1159,1,4,4,652
1160,1,4,4,686
1161,1,15,15,688
1162,1,15,15,676
1163,1,15,15,286
1164,1,15,15,685
1165,1,15,15,687
1166,1,15,15,598
1167,1,15,15,649
1168,1,15,15,598
1169,1,15,15,675
1170,1,15,15,652
1171,1,15,15,621
1172,1,15,15,647
1173,1,15,15,550
1174,1,15,15,663
1175,1,15,15,684
1176,1,15,15,690
1177,1,15,15,658
1178,1,15,15,622
1179,1,15,15,686
1180,1,15,15,298
1181,1,15,15,313
1182,1,15,15,674
1183,1,15,15,588
1184,1,15,15,615
1185,1,15,15,648
1186,1,15,15,604
1187,1,15,15,450
1188,1,15,15,682
1189,1,15,15,663
1190,1,15,15,632
1191,1,21,15,322
1192,1,15,15,315
1193,1,15,15,682
1194,1,15,15,632
1195,1,4,4,352
1196,1,4,4,654
1197,1,15,15,671
1198,1,15,15,676
1199,1,15,15,685
1200,1,15,15,625
1201,1,4,4,645
1202,1,15,15,664
1203,1,21,15,12
1204,1,15,15,685
1205,1,15,15,667
1206,1,15,15,679
1207,1,3,3,258
1208,1,15,15,689
1209,1,15,15,660
1210,1,15,15,680
1211,1,15,15,652
1212,1,15,15,390
1213,1,15,15,631
1214,1,15,15,645
1215,1,15,15,686
1216,1,15,15,674
1217,1,15,15,688
1218,1,15,15,630
1219,1,15,15,686
1220,1,15,15,631
1221,1,4,4,619
1222,1,15,15,668
1223,1,15,15,591
1224,1,15,15,630
1225,1,15,15,667
1226,1,15,15,591
1227,1,15,15,670
1228,1,4,4,675
1229,1,15,15,660
1230,1,15,15,684
1231,1,15,15,655
1232,1,21,15,550
1233,1,15,15,564
1234,1,21,15,677
1235,1,15,15,696
1236,1,15,15,652
1237,1,15,15,577
1238,1,15,15,679
1239,1,15,15,665
1240,1,15,15,680
1241,1,15,15,646
1242,1,15,15,682
1243,1,15,15,675
1244,1,15,15,692
1245,1,15,15,639
1246,1,4,4,601
1247,1,15,15,677
1248,1,15,15,618
1249,1,15,15,309
1250,1,15,15,500
1251,1,15,15,557
1252,1,15,15,666
1253,1,12,12,632
1254,1,15,15,657
1255,1,15,15,654
1256,1,15,15,670
1257,1,15,15,56
1258,1,4,4,407
1259,1,3,4,567
1260,1,15,15,579
1261,1,15,15,632
1262,1,15,15,669
1263,1,15,15,664
1264,1,15,15,667
1265,1,41,41,687
1266,1,15,15,687
1267,1,15,12,671
1268,1,15,15,562
1269,1,15,15,670
1270,1,15,15,665
1271,1,15,15,677
1272,1,15,15,683
1273,1,15,15,673
1274,1,15,15,632
1275,1,15,15,239
1276,1,15,15,679
1277,1,4,4,473
1278,1,15,15,657
1279,1,15,15,685
1280,1,4,4,659
1281,1,15,15,666
1282,1,15,15,272
1283,1,15,15,652
1284,1,15,15,116
1285,1,15,15,619
1286,1,15,15,675
1287,1,15,15,660
1288,1,15,15,674
1289,1,4,4,589
1290,1,15,15,63
1291,1,15,15,680
1292,1,15,15,681
1293,1,15,15,669
1294,1,15,15,337
1295,1,15,15,687
1296,1,21,15,539
