id,class_cvp,class_2025,stable_20_,n_matches
1029,1,15,15,702
1030,1,15,15,702
1031,1,15,15,702
1032,1,15,15,702
1033,1,15,15,702
1034,1,15,15,702
1035,1,21,15,702
1036,1,15,15,702
1037,1,15,15,702
1038,1,15,15,702
1039,1,15,15,702
1040,1,15,15,702
1041,1,15,15,702
1042,1,15,15,702
1043,1,15,15,702
1044,1,15,15,702
1045,1,15,15,702
1046,1,15,15,702
1047,1,15,15,702
1048,1,15,15,702
1049,1,21,15,702
1050,1,15,15,702
1051,1,15,15,702
1052,1,15,15,702
1053,1,15,15,702
1054,1,15,15,702
1055,1,15,15,702
1056,1,15,15,702
1057,1,15,15,702
1058,1,15,15,702
1059,1,15,15,702
1060,1,15,4,702
1061,1,15,15,702
1062,1,15,15,702
1063,1,15,15,702
1064,1,15,15,702
1065,1,15,15,702
1066,1,15,15,702
1067,1,15,15,702
1068,1,15,15,702
1069,1,15,15,702
1070,1,15,15,702
1071,1,15,12,702
1072,1,15,15,702
1073,1,15,15,702
1074,1,15,15,702
1075,1,15,15,702
1076,1,15,15,702
1077,1,15,15,702
1078,1,15,15,702
1079,1,15,15,702
1080,1,15,15,702
1081,1,15,15,702
1082,1,15,15,702
1083,1,4,4,702
1084,1,15,15,702
1085,1,15,15,702
1086,1,15,15,702
1087,1,15,15,702
1088,1,15,15,702
1089,1,15,15,702
1090,1,15,15,702
1091,1,15,15,702
1092,1,15,15,702
1093,1,41,15,702
1094,1,21,15,702
1095,1,15,15,702
1096,1,15,15,702
1097,1,15,15,702
1098,1,15,15,702
1099,1,15,15,702
1100,1,15,15,702
1101,1,15,15,702
1102,1,15,15,702
1103,1,15,15,702
1104,1,15,15,702
1105,1,15,15,702
1106,1,15,15,702
1107,1,15,15,702
1108,1,15,15,702
1109,1,15,15,702
1110,1,15,15,702
1111,1,15,15,702
1112,1,15,15,702
1113,1,15,15,702
1114,1,15,15,702
1115,1,15,15,702
1116,1,39,39,702
1117,1,15,15,702
1118,1,15,15,702
1119,1,15,15,702
1120,1,15,15,702
1121,1,15,15,702
1122,1,15,15,702
1123,1,15,15,702
1124,1,15,15,702
1125,1,15,15,702
1126,1,15,15,702
1127,1,15,15,702
1128,1,15,15,702
1129,1,4,15,702
1130,1,15,15,702
1131,1,15,15,702
1132,1,15,15,702
1133,1,15,15,702
1134,1,15,15,702
1135,1,15,15,702
1136,1,15,15,702
1137,1,15,15,702
1138,1,15,15,702
1139,1,15,15,702
1140,1,15,15,702
1141,1,39,39,702
1142,1,15,15,702
1143,1,15,15,702
1144,1,15,15,702
1145,1,15,15,702
1146,1,15,15,702
1147,1,15,15,702
1148,1,15,15,702
1149,1,15,15,702
1150,1,15,15,702
1151,1,15,15,702
1152,1,15,15,702
1153,1,15,15,702
1154,1,15,15,702
1155,1,15,15,702
1156,1,15,15,702
1157,1,15,15,702
1158,1,15,15,702
1159,1,4,4,702
1160,1,4,4,702
1161,1,15,15,702
1162,1,15,15,702
1163,1,15,15,702
1164,1,15,15,702
1165,1,15,15,702
1166,1,15,15,702
1167,1,15,15,702
1168,1,15,15,702
1169,1,15,15,702
1170,1,15,15,702
1171,1,15,15,702
1172,1,15,15,702
1173,1,15,15,702
1174,1,15,15,702
1175,1,15,15,702
1176,1,15,15,702
1177,1,15,15,702
1178,1,15,15,702
1179,1,15,15,702
1180,1,15,15,702
1181,1,15,15,702
1182,1,15,15,702
1183,1,15,15,702
1184,1,15,15,702
1185,1,15,15,702
1186,1,15,15,702
1187,1,15,15,702
1188,1,15,15,702
1189,1,15,15,702
1190,1,15,15,702
1191,1,21,15,702
1192,1,15,15,702
1193,1,15,15,702
1194,1,15,15,702
1195,1,4,4,702
1196,1,4,4,702
1197,1,15,15,702
1198,1,15,15,702
1199,1,15,15,702
1200,1,15,15,702
1201,1,4,4,702
1202,1,15,15,702
1203,1,21,15,702
1204,1,15,15,702
1205,1,15,15,702
1206,1,15,15,702
1207,1,3,3,702
1208,1,15,15,702
1209,1,15,15,702
1210,1,15,15,702
1211,1,15,15,702
1212,1,15,15,702
1213,1,15,15,702
1214,1,15,15,702
1215,1,15,15,702
1216,1,15,15,702
1217,1,15,15,702
1218,1,15,15,702
1219,1,15,15,702
1220,1,15,15,702
1221,1,4,4,702
1222,1,15,15,702
1223,1,15,15,702
1224,1,15,15,702
1225,1,15,15,702
1226,1,15,15,702
1227,1,15,15,702
1228,1,4,4,702
1229,1,15,15,702
1230,1,15,15,702
1231,1,15,15,702
1232,1,21,15,702
1233,1,15,15,702
1234,1,21,15,702
1235,1,15,15,702
1236,1,15,15,702
1237,1,15,15,702
1238,1,15,15,702
1239,1,15,15,702
1240,1,15,15,702
1241,1,15,15,702
1242,1,15,15,702
1243,1,15,15,702
1244,1,15,15,702
1245,1,15,15,702
1246,1,4,4,702
1247,1,15,15,702
1248,1,15,15,702
1249,1,15,15,702
1250,1,15,15,702
1251,1,15,15,702
1252,1,15,15,702
1253,1,12,12,702
1254,1,15,15,702
1255,1,15,15,702
1256,1,15,15,702
1257,1,15,15,702
1258,1,4,4,702
1259,1,3,4,702
1260,1,15,15,702
1261,1,15,15,702
1262,1,15,15,702
1263,1,15,15,702
1264,1,15,15,702
1265,1,41,41,702
1266,1,15,15,702
1267,1,15,12,702
1268,1,15,15,702
1269,1,15,15,702
1270,1,15,15,702
1271,1,15,15,702
1272,1,15,15,702
1273,1,15,15,702
1274,1,15,15,702
1275,1,15,15,702
1276,1,15,15,702
1277,1,4,4,702
1278,1,15,15,702
1279,1,15,15,702
1280,1,4,4,702
1281,1,15,15,702
1282,1,15,15,702
1283,1,15,15,702
1284,1,15,15,702
1285,1,15,15,702
1286,1,15,15,702
1287,1,15,15,702
1288,1,15,15,702
1289,1,4,4,702
1290,1,15,15,702
1291,1,15,15,702
1292,1,15,15,702
1293,1,15,15,702
1294,1,15,15,702
1295,1,15,15,702
1296,1,21,15,702
1297,1,15,15,702
1298,1,15,15,702
1299,1,15,15,702
1300,1,15,15,702
1301,1,15,15,702
1302,1,15,15,702
1303,1,15,15,702
1304,1,15,15,702
1305,1,15,15,702
1306,1,15,15,702
1307,1,15,15,702
1308,1,15,15,702
1309,1,15,15,702
1310,1,15,15,702
1311,1,15,15,702
1312,1,15,15,702
1313,1,21,15,702
1314,1,15,15,702
1315,1,15,15,702
1316,1,15,15,702
1317,1,15,15,702
1318,1,15,15,702
1319,1,15,15,702
1320,1,15,15,702
1321,1,15,15,702
1322,1,15,15,702
1323,1,15,15,702
1324,1,15,15,702
1325,1,15,15,702
1326,1,15,15,702
1327,1,15,15,702
1328,1,4,4,702
1329,1,15,15,702
1330,1,15,15,702
1331,1,15,15,702
1332,1,15,15,702
1333,1,15,15,702
1334,1,15,15,702
1335,1,15,15,702
1336,1,21,15,702
1337,1,15,15,702
1338,1,15,12,702
1339,1,15,15,702
1340,1,15,15,702
1341,1,15,15,702
1342,1,15,15,702
1343,1,15,15,702
1344,1,15,15,702
1345,1,15,15,702
1346,1,4,4,702
1347,1,15,15,702
1348,1,39,39,702
1349,1,15,15,702
1350,1,15,15,702
1351,1,15,15,702
1352,1,15,15,702
1353,1,15,15,702
